gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Fkbp5,Q64378,FKBP5_MOUSE,reviewed,Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (FK506-binding protein 5) (FKBP-5) (Rotamase),Fkbp5 Fkbp51,Mus musculus (Mouse),456
Flii,Q9JJ28,FLII_MOUSE,reviewed,Protein flightless-1 homolog,Flii Fli1 Fliih,Mus musculus (Mouse),1271
Flna,Q8BTM8,FLNA_MOUSE,reviewed,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),Flna Fln Fln1,Mus musculus (Mouse),2647
Flnb,Q80X90,FLNB_MOUSE,reviewed,Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin),Flnb,Mus musculus (Mouse),2602
Fmnl2,A2APV2,FMNL2_MOUSE,reviewed,Formin-like protein 2 (Protein Man),Fmnl2 Kiaa1902 Man,Mus musculus (Mouse),1086
Fmr1,P35922,FMR1_MOUSE,reviewed,Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1 homolog) (FMRP) (Protein FMR-1) (mFmr1p),Fmr1 Fmr-1,Mus musculus (Mouse),614
Fnbp1,Q80TY0,FNBP1_MOUSE,reviewed,Formin-binding protein 1 (Formin-binding protein 17),Fnbp1 Fbp17 Kiaa0554,Mus musculus (Mouse),616
Fnbp1l,Q8K012,FBP1L_MOUSE,reviewed,Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1),Fnbp1l Toca1,Mus musculus (Mouse),605
Fndc3a,Q8BX90,FND3A_MOUSE,reviewed,Fibronectin type-III domain-containing protein 3A,Fndc3a D14Ertd453e Fndc3 Kiaa0970,Mus musculus (Mouse),1198
Fndc3b,Q6NWW9,FND3B_MOUSE,reviewed,Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37),Fndc3b Fad104 Kiaa4164 Ns5abp37,Mus musculus (Mouse),1207
Fos,P01101,FOS_MOUSE,reviewed,Proto-oncogene c-Fos (Cellular oncogene fos),Fos,Mus musculus (Mouse),380
Fosb,P13346,FOSB_MOUSE,reviewed,Protein fosB,Fosb,Mus musculus (Mouse),338
Fosl2,P47930,FOSL2_MOUSE,reviewed,Fos-related antigen 2 (FRA-2),Fosl2 Fra-2 Fra2,Mus musculus (Mouse),326
Foxd2,O35392,FOXD2_MOUSE,reviewed,Forkhead box protein D2 (Mesoderm/mesenchyme forkhead 2) (MF-2),Foxd2 Mf2,Mus musculus (Mouse),492
Foxf1,Q61080,FOXF1_MOUSE,reviewed,Forkhead box protein F1 (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1) (FREAC-1) (Hepatocyte nuclear factor 3 forkhead homolog 8) (HFH-8),Foxf1 Fkhl5 Foxf1a Freac1 Hfh8,Mus musculus (Mouse),378
Foxn3,Q499D0,FOXN3_MOUSE,reviewed,Forkhead box protein N3 (Checkpoint suppressor 1),Foxn3 Ches1,Mus musculus (Mouse),457
Foxo3,Q9WVH4,FOXO3_MOUSE,reviewed,Forkhead box protein O3,Foxo3 Fkhr2 Foxo3a,Mus musculus (Mouse),672
Foxo4,Q9WVH3,FOXO4_MOUSE,reviewed,Forkhead box protein O4 (Afxh) (Fork head domain transcription factor AFX1),Foxo4 Afx Afx1 Fkhr3 Mllt7,Mus musculus (Mouse),505
Foxp1,P58462,FOXP1_MOUSE,reviewed,Forkhead box protein P1 (Forkhead-related transcription factor 1),Foxp1,Mus musculus (Mouse),705
Foxred1,Q3TQB2,FXRD1_MOUSE,reviewed,FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-),Foxred1,Mus musculus (Mouse),487
Fpgs,P48760,FOLC_MOUSE,reviewed,"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)",Fpgs,Mus musculus (Mouse),587
Frk,Q922K9,FRK_MOUSE,reviewed,Tyrosine-protein kinase FRK (EC 2.7.10.2) (Beta-cell Src-homology tyrosine kinase) (BSK) (FYN-related kinase) (Intestine tyrosine kinase),Frk Bsk Iyk,Mus musculus (Mouse),512
Frmd4a,Q8BIE6,FRM4A_MOUSE,reviewed,FERM domain-containing protein 4A,Frmd4a Frmd4 Kiaa1294,Mus musculus (Mouse),1020
Frrs1,Q8K385,FRRS1_MOUSE,reviewed,Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2),FRRS1 Sdfr2 Sdr2,Mus musculus (Mouse),592
Frs2,Q8C180,FRS2_MOUSE,reviewed,Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (FRS2-alpha) (Suc1-associated neurotrophic factor target 1) (SNT-1),Frs2 Frs2a,Mus musculus (Mouse),508
Fry,E9Q8I9,FRY_MOUSE,reviewed,Protein furry homolog,Fry Kiaa4143,Mus musculus (Mouse),3020
Fstl1,Q62356,FSTL1_MOUSE,reviewed,Follistatin-related protein 1 (Follistatin-like protein 1) (TGF-beta-inducible protein TSC-36),Fstl1 Frp Fstl Tsc36,Mus musculus (Mouse),306
Fstl4,Q5STE3,FSTL4_MOUSE,reviewed,Follistatin-related protein 4 (Follistatin-like protein 4) (m-D/Bsp120I 1-1),Fstl4 Kiaa1061,Mus musculus (Mouse),841
Fth1,P09528,FRIH_MOUSE,reviewed,"Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) [Cleaved into: Ferritin heavy chain, N-terminally processed]",Fth1 Fth,Mus musculus (Mouse),182
Fto,Q8BGW1,FTO_MOUSE,reviewed,Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (Protein fatso) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-),Fto Kiaa1752,Mus musculus (Mouse),502
Fubp1,Q91WJ8,FUBP1_MOUSE,reviewed,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1),Fubp1 D3Ertd330e,Mus musculus (Mouse),651
Fuk,Q7TMC8,FCSK_MOUSE,reviewed,L-fucose kinase (Fucokinase) (EC 2.7.1.52),Fcsk Fuk,Mus musculus (Mouse),1090
Fus,P56959,FUS_MOUSE,reviewed,RNA-binding protein FUS (Protein pigpen),Fus,Mus musculus (Mouse),518
Fut2,Q9JL27,FUT2_MOUSE,reviewed,"Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.344) (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (Secretory blood group protein 2)",Fut2 Sec2,Mus musculus (Mouse),347
Fut4,Q11127,FUT4_MOUSE,reviewed,"Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)",Fut4 Elft,Mus musculus (Mouse),433
Fut8,Q9WTS2,FUT8_MOUSE,reviewed,"Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)",Fut8,Mus musculus (Mouse),575
Fut9,O88819,FUT9_MOUSE,reviewed,"Alpha-(1,3)-fucosyltransferase 9 (EC 2.4.1.-) (Fucosyltransferase 9) (Fucosyltransferase IX) (Fuc-TIX) (FucT-IX) (Galactoside 3-L-fucosyltransferase)",Fut9,Mus musculus (Mouse),359
Fxr1,Q61584,FXR1_MOUSE,reviewed,Fragile X mental retardation syndrome-related protein 1 (mFxr1p),Fxr1 Fxr1h,Mus musculus (Mouse),677
Fzd1,O70421,FZD1_MOUSE,reviewed,Frizzled-1 (Fz-1) (mFz1),Fzd1,Mus musculus (Mouse),642
Fzd4,Q61088,FZD4_MOUSE,reviewed,Frizzled-4 (Fz-4) (mFz4) (CD antigen CD344),Fzd4,Mus musculus (Mouse),537
Fzd5,Q9EQD0,FZD5_MOUSE,reviewed,Frizzled-5 (Fz-5) (mFz5),Fzd5,Mus musculus (Mouse),585
G3bp1,P97855,G3BP1_MOUSE,reviewed,Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (GAP SH3 domain-binding protein 1) (HDH-VIII),G3bp1 G3bp,Mus musculus (Mouse),465
G3bp2,P97379,G3BP2_MOUSE,reviewed,Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2),G3bp2,Mus musculus (Mouse),482
G6pdx,Q00612,G6PD1_MOUSE,reviewed,Glucose-6-phosphate 1-dehydrogenase X (G6PD) (EC 1.1.1.49),G6pdx G6pd G6pd-1,Mus musculus (Mouse),515
Gab1,Q9QYY0,GAB1_MOUSE,reviewed,GRB2-associated-binding protein 1 (GRB2-associated binder 1) (Growth factor receptor bound protein 2-associated protein 1),Gab1,Mus musculus (Mouse),695
Gale,Q8R059,GALE_MOUSE,reviewed,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-galactose 4-epimerase),Gale,Mus musculus (Mouse),347
Galnt1,O08912,GALT1_MOUSE,reviewed,Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form],Galnt1,Mus musculus (Mouse),559
Galnt3,P70419,GALT3_MOUSE,reviewed,Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3),Galnt3,Mus musculus (Mouse),633
Galnt6,Q8C7U7,GALT6_MOUSE,reviewed,Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6),Galnt6,Mus musculus (Mouse),622
Galnt7,Q80VA0,GALT7_MOUSE,reviewed,N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7),Galnt7,Mus musculus (Mouse),657
Gan,Q8CA72,GAN_MOUSE,reviewed,Gigaxonin,Gan,Mus musculus (Mouse),597
Gapdh,P16858,G3P_MOUSE,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Gapdh Gapd,Mus musculus (Mouse),333
Gapdhs,Q64467,G3PT_MOUSE,reviewed,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)",Gapdhs Gapd-s Gapds,Mus musculus (Mouse),440
Garem1,Q3UFT3,GARE1_MOUSE,reviewed,GRB2-associated and regulator of MAPK protein (GRB2-associated and regulator of MAPK1),Garem1 Fam59a Garem Gm944 Kiaa4238,Mus musculus (Mouse),876
Gart,Q64737,PUR2_MOUSE,reviewed,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)],Gart,Mus musculus (Mouse),1010
Gas7,Q60780,GAS7_MOUSE,reviewed,Growth arrest-specific protein 7 (GAS-7),Gas7,Mus musculus (Mouse),421
Gata6,Q61169,GATA6_MOUSE,reviewed,Transcription factor GATA-6 (GATA-binding factor 6),Gata6,Mus musculus (Mouse),589
Gatad2a,Q8CHY6,P66A_MOUSE,reviewed,Transcriptional repressor p66 alpha (GATA zinc finger domain-containing protein 2A),Gatad2a,Mus musculus (Mouse),629
Gba2,Q69ZF3,GBA2_MOUSE,reviewed,Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2),Gba2 Kiaa1605,Mus musculus (Mouse),918
Gbf1,Q8BWM0,PGES2_MOUSE,reviewed,Prostaglandin E synthase 2 (EC 5.3.99.3) (GATE-binding factor 1) (GBF-1) (Microsomal prostaglandin E synthase 2) (mPGES-2) [Cleaved into: Prostaglandin E synthase 2 truncated form],Ptges2 Gbf1 Pges2,Mus musculus (Mouse),384
Gbp5,Q8CFB4,GBP5_MOUSE,reviewed,Guanylate-binding protein 5 (EC 3.6.5.-) (GTP-binding protein 5) (GBP-5) (MuGBP-5) (Guanine nucleotide-binding protein 5),Gbp5,Mus musculus (Mouse),590
Gca,Q8VC88,GRAN_MOUSE,reviewed,Grancalcin,Gca,Mus musculus (Mouse),220
Gclc,P97494,GSH1_MOUSE,reviewed,Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase),Gclc Glclc,Mus musculus (Mouse),637
Gcnt1,Q09324,GCNT1_MOUSE,reviewed,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT)",Gcnt1,Mus musculus (Mouse),428
Gcnt2,P97402,GCNT2_MOUSE,reviewed,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT) (Large I antigen-forming beta-1,6-N-acetylglucosaminyltransferase)",Gcnt2,Mus musculus (Mouse),401
Gcnt3,Q5JCT0,GCNT3_MOUSE,reviewed,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (Mucus-type core 2 beta-1,6-N-acetylglucosaminyltransferase)",Gcnt3,Mus musculus (Mouse),437
Gcnt4,E9Q649,GCNT4_MOUSE,reviewed,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 (EC 2.4.1.102) (Core 2-branching enzyme 3) (Core2-GlcNAc-transferase 3) (C2GnT3)",Gcnt4,Mus musculus (Mouse),455
Gcsh,Q91WK5,GCSH_MOUSE,reviewed,"Glycine cleavage system H protein, mitochondrial (Lipoic acid-containing protein)",Gcsh,Mus musculus (Mouse),170
Gda,Q8C0K5,GDC_MOUSE,reviewed,Graves disease carrier protein homolog (GDC) (Mitochondrial solute carrier protein homolog) (Solute carrier family 25 member 16),Slc25a16 Gda,Mus musculus (Mouse),332
Gda,Q9R111,GUAD_MOUSE,reviewed,Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH),Gda,Mus musculus (Mouse),454
Gdf15,Q9Z0J7,GDF15_MOUSE,reviewed,Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1),Gdf15 Mic1 Sbf,Mus musculus (Mouse),303
Gdi2,Q61598,GDIB_MOUSE,reviewed,Rab GDP dissociation inhibitor beta (Rab GDI beta) (GDI-3) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2),Gdi2 Gdi3,Mus musculus (Mouse),445
Gdpgp1,Q3TLS3,GDPP1_MOUSE,reviewed,GDP-D-glucose phosphorylase 1 (EC 2.7.7.78),Gdpgp1,Mus musculus (Mouse),386
Gfer,P56213,ALR_MOUSE,reviewed,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration),Gfer Alr MNCb-0663,Mus musculus (Mouse),198
Gfm1,Q8K0D5,EFGM_MOUSE,reviewed,"Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",Gfm1 Efg Efg1 Gfm,Mus musculus (Mouse),751
Gfm2,Q8R2Q4,RRF2M_MOUSE,reviewed,"Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)",Gfm2 Efg2,Mus musculus (Mouse),779
Gfpt1,P47856,GFPT1_MOUSE,reviewed,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),Gfpt1 Gfpt,Mus musculus (Mouse),697
Gga3,Q8BMI3,GGA3_MOUSE,reviewed,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)",Gga3 Kiaa0154,Mus musculus (Mouse),718
Ggact,Q923B0,GGACT_MOUSE,reviewed,Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase),Ggact A2ld1,Mus musculus (Mouse),149
Ggnbp2,Q5SV77,GGNB2_MOUSE,reviewed,Gametogenetin-binding protein 2 (Dioxin-inducible factor 3) (DIF-3) (Protein ZNF403),Ggnbp2 Zfp403 Znf403,Mus musculus (Mouse),696
Gid8,Q9D7M1,GID8_MOUSE,reviewed,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),Gid8,Mus musculus (Mouse),228
Gigyf1,Q99MR1,GGYF1_MOUSE,reviewed,GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1),Gigyf1 Kiaa4110 Perq1,Mus musculus (Mouse),1044
Gin1,Q8K259,GIN1_MOUSE,reviewed,Gypsy retrotransposon integrase-like protein 1 (GIN-1) (Zinc finger H2C2 domain-containing protein),Gin1 Zh2c2,Mus musculus (Mouse),518
Ginm1,Q91WR6,GINM1_MOUSE,reviewed,Glycoprotein integral membrane protein 1,Ginm1,Mus musculus (Mouse),327
Git2,Q9JLQ2,GIT2_MOUSE,reviewed,ARF GTPase-activating protein GIT2 (ARF GAP GIT2) (Cool-interacting tyrosine-phosphorylated protein 2) (CAT-2) (CAT2) (G protein-coupled receptor kinase-interactor 2) (GRK-interacting protein 2),Git2,Mus musculus (Mouse),708
Gjb3,P28231,CXB3_MOUSE,reviewed,Gap junction beta-3 protein (Connexin-31) (Cx31),Gjb3 Cxn-31,Mus musculus (Mouse),270
Glce,Q9EPS3,GLCE_MOUSE,reviewed,D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin sulfate C5-epimerase) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase),Glce,Mus musculus (Mouse),618
Glg1,Q61543,GSLG1_MOUSE,reviewed,Golgi apparatus protein 1 (E-selectin ligand 1) (ESL-1) (Selel) (Golgi sialoglycoprotein MG-160),Glg1 Esl1 Mg160 Selel,Mus musculus (Mouse),1175
Glmp,Q9JHJ3,GLMP_MOUSE,reviewed,Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1),Glmp,Mus musculus (Mouse),404
Glrx3,Q9CQM9,GLRX3_MOUSE,reviewed,Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2),Glrx3 Picot Txnl2,Mus musculus (Mouse),337
Gls,D3Z7P3,GLSK_MOUSE,reviewed,"Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]",Gls Gls1 Kiaa0838,Mus musculus (Mouse),674
Glt1d1,A4FUP9,GL1D1_MOUSE,reviewed,Glycosyltransferase 1 domain-containing protein 1 (EC 2.4.-.-),Glt1d1,Mus musculus (Mouse),346
Gltscr1,F8VPZ9,BICRA_MOUSE,reviewed,BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein),Bicra Gltscr1,Mus musculus (Mouse),1578
Glul,P15105,GLNA_MOUSE,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),Glul Glns,Mus musculus (Mouse),373
Glyr1,Q922P9,GLYR1_MOUSE,reviewed,Putative oxidoreductase GLYR1 (EC 1.-.-.-) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60),Glyr1 Np60,Mus musculus (Mouse),546
Gmds,Q8K0C9,GMDS_MOUSE,reviewed,"GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)",Gmds,Mus musculus (Mouse),372
Gmeb2,P58929,GMEB2_MOUSE,reviewed,Glucocorticoid modulatory element-binding protein 2 (GMEB-2),Gmeb2,Mus musculus (Mouse),530
Gmfb,Q9CQI3,GMFB_MOUSE,reviewed,Glia maturation factor beta (GMF-beta),Gmfb,Mus musculus (Mouse),142
Gmnn,O88513,GEMI_MOUSE,reviewed,Geminin,Gmnn,Mus musculus (Mouse),206
Gna11,P21278,GNA11_MOUSE,reviewed,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11),Gna11 Gna-11,Mus musculus (Mouse),359
Gna13,P27601,GNA13_MOUSE,reviewed,Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13),Gna13 Gna-13,Mus musculus (Mouse),377
Gna14,P30677,GNA14_MOUSE,reviewed,Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14),Gna14 Gna-14,Mus musculus (Mouse),355
Gnai2,P08752,GNAI2_MOUSE,reviewed,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),Gnai2 Gnai-2,Mus musculus (Mouse),355
Gnai3,Q9DC51,GNAI3_MOUSE,reviewed,Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3),Gnai3,Mus musculus (Mouse),354
Gnaq,P21279,GNAQ_MOUSE,reviewed,Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q),Gnaq,Mus musculus (Mouse),359
Gnas,P63094,GNAS2_MOUSE,reviewed,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein),Gnas Gnas1 MNCb-5546,Mus musculus (Mouse),394
Gnas,Q6R0H6,ALEX_MOUSE,reviewed,Protein ALEX (Alternative gene product encoded by XL-exon),Gnas Gnas1,Mus musculus (Mouse),725
Gnas,Q6R0H7,GNAS1_MOUSE,reviewed,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),Gnas Gnas1,Mus musculus (Mouse),1133
Gnas,Q9Z0F1,GNAS3_MOUSE,reviewed,Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide],Gnas Gnas1,Mus musculus (Mouse),257
Gnb1,P62874,GBB1_MOUSE,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),Gnb1,Mus musculus (Mouse),340
Gne,Q91WG8,GLCNE_MOUSE,reviewed,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)],Gne Glcne Uae1,Mus musculus (Mouse),722
Gng12,Q9DAS9,GBG12_MOUSE,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Gng12,Mus musculus (Mouse),72
Gnl3,Q8CI11,GNL3_MOUSE,reviewed,Guanine nucleotide-binding protein-like 3 (Nucleolar GTP-binding protein 3) (Nucleostemin),Gnl3 Ns,Mus musculus (Mouse),538
Gnl3l,Q6PGG6,GNL3L_MOUSE,reviewed,Guanine nucleotide-binding protein-like 3-like protein,Gnl3l,Mus musculus (Mouse),577
Gnpat,P98192,GNPAT_MOUSE,reviewed,Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase),Gnpat Dhapat,Mus musculus (Mouse),678
Gnpnat1,Q9JK38,GNA1_MOUSE,reviewed,Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase) (Protein EMeg32),Gnpnat1 Gna1,Mus musculus (Mouse),184
Golga2,Q921M4,GOGA2_MOUSE,reviewed,Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130),Golga2,Mus musculus (Mouse),999
Golga3,P55937,GOGA3_MOUSE,reviewed,Golgin subfamily A member 3 (Golgin-160) (Male-enhanced antigen 2) (MEA-2),Golga3 Mea2,Mus musculus (Mouse),1487
Golga4,Q91VW5,GOGA4_MOUSE,reviewed,Golgin subfamily A member 4 (tGolgin-1),Golga4,Mus musculus (Mouse),2238
Golga7,Q91W53,GOGA7_MOUSE,reviewed,Golgin subfamily A member 7,Golga7 MNCb-1213,Mus musculus (Mouse),137
Golm1,Q91XA2,GOLM1_MOUSE,reviewed,Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2),Golm1 Golph2,Mus musculus (Mouse),393
Golph3l,Q8R088,GLP3L_MOUSE,reviewed,Golgi phosphoprotein 3-like,Golph3l,Mus musculus (Mouse),285
